Counting cache functions... Output every 1 seconds.
TIME         HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
21:53:53     2932        0     2251   100.0%          142       1025
21:53:54    21815        0     2286   100.0%          142       1025
21:53:55    10443        0      955   100.0%          142       1025
21:53:56     8598        0     1357   100.0%          142       1010
21:53:57    18256        0     2478   100.0%          142       1010
21:53:58     8014        0     1979   100.0%          142       1010
21:53:59     6842        0     1357   100.0%          142       1010
21:54:00     2727        0        3   100.0%          142       1010
21:54:01     2711        0       89   100.0%          142       1010
21:54:02     2206        0        3   100.0%          142       1010
21:54:03     2143        4       17    99.8%          142       1010
21:54:05     2135        0        3   100.0%          142       1010
21:54:06     2150        0        3   100.0%          142       1010
21:54:07     2660        0        3   100.0%          142       1010
21:54:08     2690        0        8   100.0%          142       1010
21:54:09     2377        0       14   100.0%          142       1010
21:54:10     2702        0       38   100.0%          142       1010
21:54:11     2697        4        8    99.9%          142       1010
21:54:12     2701        0       93   100.0%          142       1010
21:54:13    38081        0      765   100.0%          142        989
21:54:14     9481        0       12   100.0%          142        989
21:54:15    17221        0      225   100.0%          142        989
21:54:16     2672        0        3   100.0%          142        989
21:54:17     7931        4      160    99.9%          142        989
21:54:18     2494        0        5   100.0%          142        989
21:54:19     4496        0      437   100.0%          142        989
21:54:20     2159        0        3   100.0%          142        989
21:54:21     2693        0        3   100.0%          142        989
21:54:22     2672        0        4   100.0%          142        989
21:54:23     2644        0        5   100.0%          142        989
21:54:24     2150        0        7   100.0%          142        989
21:54:25     2650        0        8   100.0%          142        989
21:54:26     2672        0        5   100.0%          142        989
21:54:27    20369        0      320   100.0%          142        989
21:54:28     2089        0      166   100.0%          142        992
21:54:29     6394        0       14   100.0%          142        992
21:54:30     2163        4        3    99.8%          142        992
21:54:31    23995        0      703   100.0%          142        992
21:54:32     9525        0        4   100.0%          142        992
21:54:33     3131        0       17   100.0%          142        989
21:54:34     2658        0        3   100.0%          142        989
21:54:35     2695        0        3   100.0%          142        989
21:54:36     4566        1      414   100.0%          142        989
21:54:38     7741        0       89   100.0%          142        989
21:54:39     2154        0        3   100.0%          142        989
21:54:40     7911        0      163   100.0%          142        989
21:54:41     2682        0      175   100.0%          142        989
21:54:42     3151        0      173   100.0%          142        989
21:54:43    15427        0      226   100.0%          142        989
21:54:44     2685        0       23   100.0%          142        989
21:54:45     6433        0        8   100.0%          142        989
21:54:46     2677        0        3   100.0%          142        989
21:54:47    16446        0      267   100.0%          142        989
21:54:48     2417        0        3   100.0%          142        989
21:54:49     2179        0       55   100.0%          142        989
21:54:50     2151        0        5   100.0%          142        989
21:54:51     5741        0     4158   100.0%          142       1005
21:54:52     2666        0        4   100.0%          142       1005
21:54:53     2739        0        3   100.0%          142       1005
21:54:54     5901        0      665   100.0%          142       1005
21:54:55     2898        0      944   100.0%          142       1005
21:54:56     2250        0      883   100.0%          142       1005
21:54:57     5032        0      873   100.0%          142       1005

Ending tracing...
