Counting cache functions... Output every 1 seconds.
TIME         HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
21:55:22     2687        0        5   100.0%          142       1006
21:55:23     2161        4        3    99.8%          142       1006
21:55:24    23953        0      415   100.0%          142       1006
21:55:25     3875      170       19    95.8%          142       1007
21:55:26    13583        0      238   100.0%          142       1007
21:55:27    21217        0      478   100.0%          142       1007
21:55:28     2669        0       10   100.0%          142       1009
21:55:30     6899        0        8   100.0%          142       1009
21:55:31     2729        0        4   100.0%          142       1009
21:55:32     2200        2        4    99.9%          142       1009
21:55:33     4471        0       49   100.0%          142       1018
21:55:34     2312        0       29   100.0%          142       1018
21:55:35    25892        0      576   100.0%          142       1018
21:55:36     5003        0       14   100.0%          142       1019
21:55:37    15793        0      448   100.0%          142       1020
21:55:38     7785        0      167   100.0%          142       1020
21:55:39     2146        0      282   100.0%          142       1020
21:55:40     2704        0        3   100.0%          142       1020
21:55:41     2158        0        8   100.0%          142       1020
21:55:42    15601        0      307   100.0%          142       1019
21:55:43     3448        0        7   100.0%          142       1019
21:55:44    19488        0      484   100.0%          142       1019
21:55:45    18400        0      240   100.0%          142       1019
21:55:46     2252        0       32   100.0%          142       1019
21:55:47     2694        0        3   100.0%          142       1019
21:55:48     2174        0       18   100.0%          142       1020
21:55:49    15920        0      179   100.0%          142       1020
21:55:50     2139        4       25    99.8%          142       1020
21:55:51     7182        0       81   100.0%          142       1020
21:55:52     7982        0      162   100.0%          142       1020
21:55:54     2689        0        6   100.0%          142       1020
21:55:55     2704        0       21   100.0%          142       1020
21:55:56     2167        0      299   100.0%          142       1020
21:55:57     5935        0      364   100.0%          142       1020
21:55:58    11574        0      249   100.0%          142       1020
21:55:59     2205        0       10   100.0%          142       1020
21:56:00    10699        0      889   100.0%          142       1020
21:56:01     2403        0     1854   100.0%          142       1020
21:56:02     2604        0     1701   100.0%          142       1020
21:56:03     2997        3      568    99.9%          142       1020
21:56:04     2684        0       21   100.0%          142       1020
21:56:05     2233        0     1422   100.0%          142       1020
21:56:06     2701        0        4   100.0%          142       1020
21:56:07     2647        0      276   100.0%          142       1020
21:56:08     2178        0       12   100.0%          142       1020
21:56:09     2207        0        3   100.0%          142       1020
21:56:10    10427        0        9   100.0%          142       1020
21:56:11     2690        0        3   100.0%          142       1020
21:56:12     7157        0      311   100.0%          142       1020
21:56:13     2134        0        3   100.0%          142       1020
21:56:14     4153        0       11   100.0%          142       1020
21:56:15    17425        0      607   100.0%          142       1020
21:56:16     2435        3     1973    99.9%          142       1021
21:56:17     7567        0    14331   100.0%          143       1021
21:56:18     2446        0     2047   100.0%          143       1022
21:56:19     2506        0     1371   100.0%          143       1022
21:56:20     3051        0      778   100.0%          143       1021
21:56:21     2674        0        3   100.0%          143       1021
21:56:22     2710        0        4   100.0%          143       1021
21:56:24     3619        0       13   100.0%          143       1037
21:56:25     2142        0        3   100.0%          143       1040
21:56:26     6318        0       27   100.0%          143       1040
21:56:27     2588        0      479   100.0%          143       1040
21:56:28    11054        0      224   100.0%          143       1042
21:56:29     2304        0       15   100.0%          143       1042
21:56:30     6980        0       18   100.0%          143       1042
21:56:31     2138        0        5   100.0%          143       1041
21:56:32     2156        0        3   100.0%          143       1041
21:56:33     3507        0        3   100.0%          143       1040
21:56:34     2728        0       24   100.0%          143       1041
21:56:35     2166        0       23   100.0%          143       1041
21:56:36     2123        0       71   100.0%          143       1041
21:56:37     4185        0     7412   100.0%          143       1041
21:56:38     2877        0     1602   100.0%          143       1041
21:56:39    16939        0     1191   100.0%          143       1040
21:56:40     2685        0       11   100.0%          143       1041
21:56:41     2182        0      107   100.0%          143       1042
21:56:42    14997        0      315   100.0%          143       1041
21:56:43     2649        0        7   100.0%          143       1041
21:56:44     3801        0       10   100.0%          143       1041
21:56:45     4723        0        9   100.0%          143       1039
21:56:46     3058        0        3   100.0%          143       1038
21:56:47     3740        0        8   100.0%          143       1037
21:56:48     2640        0       17   100.0%          143       1037
21:56:49     2220        4        7    99.8%          143       1040

Ending tracing...
