Counting cache functions... Output every 1 seconds.
TIME         HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
21:51:28    15420        0      591   100.0%          142       1038
21:51:29     1105        0    14533   100.0%          142       1042
21:51:30    28506        0      402   100.0%          142       1042
21:51:31    13569        0      227   100.0%          142       1042
21:51:32     2212        4        3    99.8%          142       1042
21:51:33     2176        0        3   100.0%          142       1042
21:51:34     8930        0      187   100.0%          142       1022
21:51:35     2164        0        6   100.0%          142       1022
21:51:36     2673        0        4   100.0%          142       1022
21:51:37     3763        0     6578   100.0%          142       1021
21:51:38     2692        2        6    99.9%          142       1022
21:51:39     2190        0        3   100.0%          142       1022
21:51:40     2627        0       10   100.0%          142       1022
21:51:41     2666        0        8   100.0%          142       1022
21:51:42    11607        0       90   100.0%          142       1022
21:51:43     6983        0        9   100.0%          142       1022
21:51:44     2200        0       31   100.0%          142       1022
21:51:45     6403        4        8    99.9%          142       1022
21:51:46     2730        0        3   100.0%          142       1022
21:51:47     2684        0      555   100.0%          142       1023
21:51:48     2397        0     1632   100.0%          142       1023
21:51:49     3021        0     1109   100.0%          142       1023
21:51:50     2519        0      275   100.0%          142       1022
21:51:51     2129        4        3    99.8%          142       1022
21:51:52     2173        0        9   100.0%          142       1022
21:51:53     2708        0        5   100.0%          142       1022
21:51:54     2187        0      168   100.0%          142       1022
21:51:55     2725        0       12   100.0%          142       1022
21:51:56     5186        0      272   100.0%          142       1022
21:51:57    31607        0      850   100.0%          142       1022
21:51:58    10697        0       59   100.0%          142       1022
21:52:00    17613        0      231   100.0%          142       1022
21:52:01     2714        0        4   100.0%          142       1022
21:52:02     2680        0        3   100.0%          142       1022
21:52:03     8350        0      356   100.0%          142       1022
21:52:04     2388        0       16   100.0%          142       1022
21:52:05     2691        4        3    99.9%          142       1022
21:52:06     2706        0        3   100.0%          142       1022
21:52:07     2674        0        5   100.0%          142       1022
21:52:08     2708        0      203   100.0%          142       1022
21:52:09     2180        0        3   100.0%          142       1022
21:52:10     2156        0        3   100.0%          142       1022
21:52:11     2223        3       18    99.9%          142       1022
21:52:12     2749        0       90   100.0%          142       1022
21:52:13    29106        0      393   100.0%          142       1022
21:52:14     2660        0        9   100.0%          142       1022
21:52:15     6923        0       14   100.0%          142       1022
21:52:16     2681        0        3   100.0%          142       1022
21:52:17     2675        0        3   100.0%          142       1022
21:52:18     2689        0       16   100.0%          142       1022
21:52:19     5089        0      143   100.0%          142       1022
21:52:20     2959        0        5   100.0%          142       1022
21:52:21     2203        0        4   100.0%          142       1022
21:52:22     2718        0        3   100.0%          142       1022
21:52:23     2662        0      203   100.0%          142       1022
21:52:24     2227        0      124   100.0%          142       1022
21:52:25    23853        0      676   100.0%          142       1022
21:52:26     9581        0        7   100.0%          142       1022
21:52:27    16036        0     1516   100.0%          142       1023
21:52:28     6511        0     1648   100.0%          142       1025
21:52:29     7276        0      933   100.0%          142       1025
21:52:30     2671        0      278   100.0%          142       1025
21:52:32     2692        3        3    99.9%          142       1025
21:52:33     2162        0      100   100.0%          142       1025
21:52:34     8388        0       88   100.0%          142       1023
21:52:35     2189        0        3   100.0%          142       1023
21:52:36     2182        0        3   100.0%          142       1023
21:52:37    10327        0      300   100.0%          142       1023
21:52:38     2695        0       98   100.0%          142       1023
21:52:39     2736        0        3   100.0%          142       1023
21:52:40     2218        0        6   100.0%          142       1023
21:52:41     2694        0        8   100.0%          142       1023
21:52:42     2665        0       90   100.0%          142       1023
21:52:43    28705        0      392   100.0%          142       1023
21:52:44     2183        4        9    99.8%          142       1023
21:52:45     6934        0       11   100.0%          142       1023
21:52:46     2171        0        3   100.0%          142       1023
21:52:47     2190        0        3   100.0%          142       1023
21:52:48     2673        0        3   100.0%          142       1023
21:52:49     2214        0       16   100.0%          142       1023
21:52:50     2140        0        3   100.0%          142       1023
21:52:51     2364        1        6   100.0%          142       1023
21:52:52     2683        0       17   100.0%          142       1023
21:52:53     2665        0      129   100.0%          142       1023
21:52:54     2195        0        6   100.0%          142       1023
21:52:55     2735        0       10   100.0%          142       1023
21:52:56     2218        0      115   100.0%          142       1023
21:52:57    18007        0      589   100.0%          142       1023
21:52:58     2639        0       24   100.0%          142       1023
21:52:59    10118        0      238   100.0%          142       1023
21:53:00     2208        0        3   100.0%          142       1023
21:53:01     2159        0      275   100.0%          142       1023
21:53:02     2151        0        4   100.0%          142       1023
21:53:04     2672        0      158   100.0%          142       1023
21:53:04     1457        0       39   100.0%          142       1023

Ending tracing...
