Counting cache functions... Output every 1 seconds.
TIME         HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
21:48:22     2406        0        8   100.0%          142       1035
21:48:23     2712        0        3   100.0%          142       1035
21:48:24     2713        0        7   100.0%          142       1035
21:48:25    17791        0      420   100.0%          142       1035
21:48:26     9614        0     1405   100.0%          142       1035
21:48:27    22383        0     1513   100.0%          142       1035
21:48:28     2811        0      820   100.0%          142       1038
21:48:29     2815        0     1027   100.0%          142       1038
21:48:30     7295        0      691   100.0%          142       1038
21:48:31     8466        0      167   100.0%          142       1038
21:48:32     2359        8        3    99.7%          142       1038
21:48:33     2730        0       17   100.0%          142       1035
21:48:34     2718        0        3   100.0%          142       1035
21:48:35     2172        0        3   100.0%          142       1035
21:48:36     5049        0      388   100.0%          142       1035
21:48:37     2351        0      110   100.0%          142       1035
21:48:38     2706        0       17   100.0%          142       1035
21:48:39     2173        0        6   100.0%          142       1035
21:48:40     2159        0        9   100.0%          142       1035
21:48:41     2947        0       12   100.0%          142       1035
21:48:42    20376        0      310   100.0%          142       1035
21:48:44     2189        0       13   100.0%          142       1035
21:48:45     6469        0       22   100.0%          142       1035
21:48:46     2197        4        3    99.8%          142       1035
21:48:47     2720        0        3   100.0%          142       1035
21:48:48     2349        0        3   100.0%          142       1035
21:48:49     2726        0       17   100.0%          142       1035
21:48:50     2741        0        3   100.0%          142       1035
21:48:51     2164        0        3   100.0%          142       1035
21:48:52     2692        0      312   100.0%          142       1035
21:48:53     2211        0       23   100.0%          142       1035
21:48:54     2663        0        5   100.0%          142       1035
21:48:55     2750        0       16   100.0%          142       1019
21:48:56     2731        0        9   100.0%          142       1019
21:48:57    14094        0      582   100.0%          142       1019
21:48:58    22564        0      520   100.0%          142       1019
21:48:59    10704        0      995   100.0%          142       1020
21:49:00    17137        0     1171   100.0%          142       1020
21:49:01     2730        0     1256   100.0%          142       1020
21:49:02     2386        0     1073   100.0%          142       1020
21:49:03     2825        0     1206   100.0%          142       1020
21:49:04     8004        0     1237   100.0%          142       1021
21:49:05     2305        4     1268    99.8%          142       1021
21:49:06     2326        0     1123   100.0%          142       1021
21:49:07     2846        0     1323   100.0%          142       1021
21:49:08     2273        0      782   100.0%          142       1021
21:49:09     2509        0      439   100.0%          142       1021
21:49:10     2687        0        8   100.0%          142       1021
21:49:11     2161        4        3    99.8%          142       1021
21:49:12    15505        0      310   100.0%          142       1021
21:49:13     2668        0        9   100.0%          142       1021
21:49:15    20723        0      186   100.0%          142       1021
21:49:16     2160        0        3   100.0%          142       1021
21:49:17     2691        0        3   100.0%          142       1021
21:49:18     2164        0       17   100.0%          142       1021
21:49:19     5059        0      157   100.0%          142       1021
21:49:20     2724        0        3   100.0%          142       1021
21:49:21     2716        0        3   100.0%          142       1021
21:49:22     4677        0        3   100.0%          142       1011
21:49:23     2684        0        6   100.0%          142       1011
21:49:24     2733        0       24   100.0%          142       1011
21:49:25     2687        4        3    99.9%          142       1011
21:49:26     2926        0       45   100.0%          142       1011
21:49:27    11511        0      108   100.0%          142       1012
21:49:28     7099        0      225   100.0%          142       1012
21:49:29     2692        0        9   100.0%          142       1014
21:49:30     6924        0        8   100.0%          142       1014
21:49:31    13611        0      315   100.0%          142       1014
21:49:32    15014        0      766   100.0%          142       1014
21:49:33     5241        0     2010   100.0%          142       1012
21:49:34     2518        0     1131   100.0%          142       1012
21:49:35     2151        0        3   100.0%          142       1012
21:49:36     5048        0      415   100.0%          142       1012
21:49:37     2712        0      104   100.0%          142       1012
21:49:38     2687        4        3    99.9%          142       1012
21:49:39     2198        0        4   100.0%          142       1012
21:49:40     2174        0        8   100.0%          142       1012
21:49:41     2701        0        3   100.0%          142       1012
21:49:42    20502        0      462   100.0%          142       1012
21:49:43     2361        0       19   100.0%          142       1012
21:49:44     6897        0       35   100.0%          142       1012
21:49:45     8103        1      283   100.0%          142       1012
21:49:46     2396        0     2760   100.0%          142       1012
21:49:48    16916        0     2011   100.0%          142       1013
21:49:49     2159        0       17   100.0%          142       1013
21:49:50     2687        0        3   100.0%          142       1013
21:49:51     -933        0     4100   100.0%          142       1029
21:49:52     2167        2        6    99.9%          142       1029
21:49:53     2423        0        7   100.0%          142       1029
21:49:54     2144        0        6   100.0%          142       1029
21:49:55     2703        0        5   100.0%          142       1029
21:49:56     2163        0       15   100.0%          142       1029
21:49:57     5213        0      370   100.0%          142       1029
21:49:58    15158        0      252   100.0%          142       1029
21:49:59     2199        0       11   100.0%          142       1029
21:50:00     6414        0       27   100.0%          142       1029
21:50:01     2162        0        4   100.0%          142       1029
21:50:02     2682        0        4   100.0%          142       1029
21:50:03     2679        0        3   100.0%          142       1029
21:50:04     2164        0       16   100.0%          142       1029
21:50:05     2716        3        3    99.9%          142       1029
21:50:06     2703        0        3   100.0%          142       1029
21:50:07     2707        0        3   100.0%          142       1029
21:50:08     2173        0     1690   100.0%          142       1029
21:50:09     2155        0        3   100.0%          142       1029
21:50:10     2202        0        8   100.0%          142       1029
21:50:11     2135        4        3    99.8%          142       1029
21:50:12    15458        0      310   100.0%          142       1029
21:50:13     6413        0      232   100.0%          142       1029
21:50:14     7601        0       23   100.0%          142       1029
21:50:15     2198        0        6   100.0%          142       1029
21:50:16     2676        0        3   100.0%          142       1029
21:50:17     1956        0        4   100.0%          142       1029

Ending tracing...
