Counting cache functions... Output every 1 seconds.
TIME         HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
21:46:05     3342        0        7   100.0%          142       1031
21:46:06     2240        0       17   100.0%          142       1031
21:46:07     2234        0      133   100.0%          142       1031
21:46:08    16937        0      414   100.0%          142       1031
21:46:09     9228        0        3   100.0%          142       1031
21:46:10    12979        0      231   100.0%          142       1031
21:46:11     2741        0        4   100.0%          142       1031
21:46:13    16045        0      352   100.0%          142       1031
21:46:14     8367        0      178   100.0%          142       1031
21:46:15     6480        0        9   100.0%          142       1031
21:46:16     2224        0        6   100.0%          142       1031
21:46:17     2705        0       19   100.0%          142       1031
21:46:18     2183        0        3   100.0%          142       1031
21:46:19     5082        1      157   100.0%          142       1031
21:46:20     2232        0        3   100.0%          142       1031
21:46:21     2174        0        6   100.0%          142       1031
21:46:22     2731        0        4   100.0%          142       1031
21:46:23     2251        0        3   100.0%          142       1031
21:46:24     2499        0       47   100.0%          142       1031
21:46:25     2182        0        6   100.0%          142       1031
21:46:26     2728        0        8   100.0%          142       1031
21:46:27    11220        0      316   100.0%          142       1031
21:46:28     6687        0        8   100.0%          142       1033
21:46:29     2247        0       14   100.0%          142       1034
21:46:30     6466        0       10   100.0%          142       1034
21:46:31     2253        0        8   100.0%          142       1034
21:46:32     2743        0       58   100.0%          142       1034
21:46:33     3262        0       17   100.0%          142       1032
21:46:34     2149        0      281   100.0%          142       1031
21:46:35     2749        0        4   100.0%          142       1031
21:46:36    21257        0     7011   100.0%          142       1032
21:46:37     9376        0     1307   100.0%          142       1032
21:46:38    13208        0     2443   100.0%          142       1032
21:46:39     2399        1     1541   100.0%          142       1032
21:46:40     2339        0     1113   100.0%          142       1033
21:46:41     8043        0     1774   100.0%          142       1033
21:46:42    11853        0     2051   100.0%          142       1033
21:46:44     2661        0     1444   100.0%          142       1033
21:46:45     6988        0        8   100.0%          142       1033
21:46:46     2217        4        3    99.8%          142       1033
21:46:47     2749        0        3   100.0%          142       1033
21:46:48     2133        0      356   100.0%          142       1033
21:46:49     2230        0       17   100.0%          142       1033
21:46:50     2676        0        3   100.0%          142       1033
21:46:51     2718        0        6   100.0%          142       1033
21:46:52     8446        0      162   100.0%          142       1033
21:46:53     2377        0        4   100.0%          142       1033
21:46:54     2744        0       10   100.0%          142       1034
21:46:55     2708        0        4   100.0%          142       1034
21:46:56     2198        0       34   100.0%          142       1034
21:46:57     5965        0      572   100.0%          142       1034
21:46:58     2438        0        8   100.0%          142       1034
21:46:59     3190        2       12    99.9%          142       1033
21:47:00     6932        0        8   100.0%          142       1033
21:47:01     2700        0        3   100.0%          142       1033
21:47:02     2845        0        6   100.0%          142       1033
21:47:03     2218        0       17   100.0%          142       1033
21:47:04     2190        0      355   100.0%          142       1033
21:47:05     2712        4        3    99.9%          142       1033
21:47:06    27931        0      700   100.0%          142       1033
21:47:07     5858        0      707   100.0%          142       1033
21:47:08     2612        0     3999   100.0%          142       1033
21:47:09     2621        0     1350   100.0%          142       1034
21:47:10     2221        0        8   100.0%          142       1034
21:47:11     2763        0        3   100.0%          142       1034
21:47:12    15474        0      486   100.0%          142       1034
21:47:13     2210        0        9   100.0%          142       1034
21:47:15    11473        0       79   100.0%          142       1034
21:47:16     2190        0        3   100.0%          142       1034
21:47:17     8361        0      160   100.0%          142       1034
21:47:18     2754        0       18   100.0%          142       1034
21:47:19     5114        0      157   100.0%          142       1034
21:47:20     2236        0        3   100.0%          142       1034
21:47:21     2692        0        3   100.0%          142       1034
21:47:22     2727        0        3   100.0%          142       1034
21:47:23    16191        0      164   100.0%          142       1034
21:47:24     2462        0        3   100.0%          142       1034
21:47:25     2211        0        3   100.0%          142       1034
21:47:26     2178        3        8    99.9%          142       1034
21:47:27     3358        0       98   100.0%          142       1034
21:47:28    14948        0      232   100.0%          142       1034
21:47:29     2710        0        9   100.0%          142       1036
21:47:30     6453        0       25   100.0%          142       1036
21:47:31     2721        0        3   100.0%          142       1036
21:47:32     2445        0        6   100.0%          142       1036
21:47:33     3278        0        6   100.0%          142       1034
21:47:34     2696        0        5   100.0%          142       1034
21:47:35     2716        0        4   100.0%          142       1034
21:47:36     5126        0      147   100.0%          142       1034
21:47:37     2245        0        3   100.0%          142       1034
21:47:38     2205        0        5   100.0%          142       1034
21:47:39     2919        0       12   100.0%          142       1034
21:47:40     6187        0      178   100.0%          142       1034
21:47:41     2742        0        6   100.0%          142       1034
21:47:42    15539        0      311   100.0%          142       1034
21:47:43     2713        0       11   100.0%          142       1034
21:47:44     1452        0       18   100.0%          142       1034

Ending tracing...
